timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936189387,TP10,54.6875,55.6641,-16.1133,-30.7617,40.5273,83.9844,25.8789,-14.1602,25.8789,84.9609,29.2969,-31.7383
1771936189387,AF8,8.7891,8.3008,24.9023,25.8789,26.3672,33.2031,45.4102,41.0156,18.5547,15.6250,28.8086,37.1094
1771936189387,TP9,63.9648,74.7070,20.9961,10.2539,70.8008,98.6328,52.2461,18.5547,45.4102,93.7500,48.8281,-9.2773
1771936189388,AF7,17.5781,13.1836,33.6914,37.5977,30.7617,46.3867,71.7773,60.0586,35.1563,24.4141,31.7383,40.5273
1771936189431,TP10,18.5547,83.4961,51.2695,-11.2305,0.9766,74.2188,64.9414,-6.3477,-12.2070,47.3633,70.3125,15.1367
1771936189432,AF8,43.4570,38.5742,41.5039,52.7344,59.0820,38.0859,14.6484,20.9961,37.1094,31.7383,12.2070,33.2031
1771936189432,TP9,24.4141,84.4727,64.9414,9.2773,27.3438,90.8203,84.4727,20.0195,14.1602,64.9414,83.9844,46.3867
1771936189433,AF7,46.8750,40.5273,46.3867,56.1523,63.9648,68.3594,49.3164,37.1094,38.5742,32.2266,29.2969,50.2930
1771936189478,TP9,17.5781,46.8750,84.4727,48.3398,8.3008,28.3203,73.2422,63.4766,21.9727,15.6250,57.6172,84.9609
1771936189478,TP10,-18.0664,17.5781,64.4531,25.3906,-17.0898,9.7656,61.0352,51.2695,7.8125,3.4180,49.3164,70.8008
1771936189478,AF8,56.1523,46.8750,28.3203,33.6914,45.4102,45.4102,25.3906,25.3906,56.1523,51.7578,18.0664,25.3906
1771936189478,AF7,63.9648,59.5703,49.8047,40.0391,40.5273,46.3867,29.7852,30.7617,54.1992,49.8047,23.9258,34.6680
1771936189521,TP10,19.0430,-17.5781,41.5039,96.1914,36.6211,-2.9297,23.4375,72.2656,40.5273,-28.3203,-10.2539,60.0586
1771936189521,AF8,50.2930,39.5508,32.2266,35.6445,44.4336,56.1523,42.4805,41.5039,49.8047,35.1563,34.1797,16.1133
1771936189522,TP9,37.5977,-3.9063,41.9922,94.2383,51.7578,17.5781,38.5742,93.7500,62.9883,-13.1836,6.3477,74.7070
1771936189522,AF7,55.1758,36.6211,27.3438,31.7383,44.9219,61.5234,51.2695,42.4805,43.9453,36.6211,37.1094,27.8320
1771936189567,TP9,76.6602,30.2734,8.3008,44.4336,76.1719,35.6445,2.4414,45.8984,69.8242,16.6016,0.9766,18.5547
1771936189567,TP10,60.5469,13.1836,0.0000,39.0625,60.5469,11.2305,-16.1133,30.7617,67.8711,10.2539,-18.5547,1.4648
1771936189567,AF8,7.3242,38.0859,42.4805,12.6953,11.2305,40.0391,32.7148,13.6719,3.4180,19.0430,37.1094,22.4609
